№,Реальныйрейтинг,Уникальныйкод,Номерличногодела,Баллприоритет 1,Баллприоритет 2,Баллприоритет 3,Суммабаллов попредметам,СуммаИД,Суммацелевых ИД,Конкурсныйбалл,Общежитие,Согласие,Приоритет,Основнойвысшийприоритет,Высшийпроходнойприоритет,Льгота,Номерпредложения,Номерзаказчика,Имеетсязаявка,Предложениена РВР,Преимущественноеправо,Статус вГосуслугах,Примечание
111,,3997306,137399,78,68,69,215,2,0,217,не нужд.,нет,3,,,0,,,,нет,,Участвует в конкурсе,
112,,4008940,137548,76,68,73,217,0,0,217,не нужд.,нет,4,2,,0,,,,нет,,Участвует в конкурсе,
113,,3998104,142510,64,70,73,207,10,0,217,не нужд.,нет,5,,,0,,,,нет,,Участвует в конкурсе,
114,,4063688,138662,76,72,66,214,2,0,216,нужд.,нет,1,3,,0,,,,нет,,Участвует в конкурсе,
115,,4257893,141573,74,75,67,216,0,0,216,нужд.,да,5,1,1,0,,,,нет,1,На рассмотрении,
116,,4016853,137758,74,70,70,214,2,0,216,нужд.,нет,3,,,0,,,,нет,,Участвует в конкурсе,
117,,3870197,134935,76,64,75,215,0,0,215,не нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
118,,3849380,134250,74,64,75,213,2,0,215,нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
119,,4036812,138473,74,64,70,208,7,0,215,не нужд.,нет,2,4,,0,,,,нет,,Участвует в конкурсе,
120,,4153634,141040,78,61,73,212,2,0,214,нужд.,нет,1,,,0,,,,нет,,Участвует в конкурсе,
121,,3931191,135877,74,74,66,214,0,0,214,нужд.,нет,2,,,0,,,,нет,,Участвует в конкурсе,
122,,4038710,138563,74,70,70,214,0,0,214,нужд.,нет,2,,,0,,,,нет,,Участвует в конкурсе,
123,,3761880,132713,74,59,81,214,0,0,214,не нужд.,да,5,,,0,,,,нет,,На рассмотрении,
124,,3857756,136953,72,53,89,214,0,0,214,не нужд.,нет,4,5,,0,,,,нет,,Участвует в конкурсе,
125,,4037326,138502,78,68,67,213,0,0,213,нужд.,нет,1,5,,0,,,,нет,,Участвует в конкурсе,
126,,4085903,139375,72,70,61,203,10,0,213,нужд.,нет,3,1,,0,,,,нет,1,Участвует в конкурсе,
127,,4103054,139601,82,77,52,211,0,0,211,не нужд.,нет,5,,,0,,,,нет,,Участвует в конкурсе,
128,,3681571,131644,84,54,72,210,0,0,210,нужд.,нет,3,,,0,,,,нет,,На рассмотрении,
129,,4253660,142817,74,70,66,210,0,0,210,не нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
130,,4015841,137710,74,70,64,208,2,0,210,нужд.,нет,1,,,0,,,,нет,,Участвует в конкурсе,
131,,4168870,141063,72,78,60,210,0,0,210,не нужд.,нет,4,2,,0,,,,нет,,Участвует в конкурсе,
132,,3957076,140638,72,62,66,200,10,0,210,нужд.,нет,2,,,0,,,,нет,,Участвует в конкурсе,
133,,3791169,140744,72,70,67,209,0,0,209,нужд.,нет,3,,,0,,,,нет,1,На рассмотрении,
134,,4163347,141078,72,59,78,209,0,0,209,не нужд.,нет,1,1,,0,,,,нет,1,Участвует в конкурсе,
135,,3959745,136809,70,75,57,202,7,0,209,не нужд.,нет,1,,,0,,,,нет,,Участвует в конкурсе,
136,,3929896,136018,70,70,67,207,2,0,209,нужд.,нет,2,,,0,,,,нет,,Участвует в конкурсе,
137,,3922300,135756,72,70,63,205,3,0,208,нужд.,нет,2,,,0,,,,нет,,Участвует в конкурсе,
138,,4085146,139166,70,76,61,207,0,0,207,нужд.,нет,2,5,,0,,,,нет,,Участвует в конкурсе,
139,,3876452,135239,66,62,79,207,0,0,207,не нужд.,нет,2,,,0,,,,нет,,Участвует в конкурсе,
140,,4035373,138454,82,67,57,206,0,0,206,не нужд.,нет,1,,,0,,,,нет,,Участвует в конкурсе,
141,,4245826,142662,76,64,64,204,2,0,206,нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
142,,4200393,140122,72,70,64,206,0,0,206,не нужд.,нет,2,,,0,,,,нет,,На рассмотрении,
143,,3917379,135721,64,54,78,196,10,0,206,нужд.,нет,4,2,,0,,,,нет,1,Ожидание результатов ВИ,
144,,3901401,135245,76,58,61,195,10,0,205,нужд.,нет,3,,,0,,,,нет,,На рассмотрении,
145,,3812521,133331,70,65,70,205,0,0,205,не нужд.,нет,5,,,0,,,,нет,,На рассмотрении,
146,,3895724,136088,58,64,83,205,0,0,205,не нужд.,нет,2,,,0,,,,нет,,Участвует в конкурсе,
147,,4034819,138423,78,65,61,204,0,0,204,не нужд.,нет,1,1,,0,,,,нет,1,Участвует в конкурсе,
148,,3869789,139781,70,71,60,201,3,0,204,не нужд.,нет,3,,,0,,,,нет,,Участвует в конкурсе,
149,,3927024,135813,84,73,46,203,0,0,203,не нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
150,,3753982,139191,78,61,64,203,0,0,203,не нужд.,нет,2,,,0,,,,нет,,Участвует в конкурсе,
151,,4204867,141952,74,56,70,200,3,0,203,нужд.,нет,1,,,0,,,,нет,,Участвует в конкурсе,
152,,3901373,135080,72,65,64,201,2,0,203,не нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
153,,3874986,135079,70,75,58,203,0,0,203,не нужд.,нет,1,,,0,,,,нет,,Участвует в конкурсе,
154,,3614884,130630,70,59,64,193,10,0,203,нужд.,нет,2,,,0,,,,нет,,На рассмотрении,
155,,3588571,130451,80,70,52,202,0,0,202,нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
156,,4021538,137880,72,68,60,200,2,0,202,нужд.,нет,1,,,0,,,,нет,,Участвует в конкурсе,
157,,4030417,138267,72,67,63,202,0,0,202,не нужд.,нет,1,,,0,,,,нет,,Участвует в конкурсе,
158,,3762572,134645,78,56,67,201,0,0,201,не нужд.,нет,1,,,0,,,,нет,,Участвует в конкурсе,
159,,3877027,135249,70,67,64,201,0,0,201,нужд.,нет,1,,,0,,,,нет,,Участвует в конкурсе,
160,,3869985,134897,74,54,72,200,0,0,200,не нужд.,нет,3,,,0,,,,нет,,На рассмотрении,
161,,3819756,133534,64,76,60,200,0,0,200,нужд.,нет,2,,,0,,,,нет,,На рассмотрении,
162,,3959170,138006,76,68,55,199,0,0,199,не нужд.,нет,1,6,,0,,,,нет,,Участвует в конкурсе,
163,,3781352,137514,70,61,66,197,2,0,199,нужд.,нет,5,,,0,,,,нет,,Участвует в конкурсе,
164,,4104611,139694,74,64,58,196,2,0,198,нужд.,нет,5,,,0,,,,нет,,Участвует в конкурсе,
165,,4017217,137724,74,51,73,198,0,0,198,нужд.,нет,3,,,0,,,,нет,,Участвует в конкурсе,
166,,3892650,138539,72,65,61,198,0,0,198,не нужд.,нет,4,,,0,,,,нет,,Участвует в конкурсе,
167,,4082369,139107,72,62,64,198,0,0,198,нужд.,нет,4,,,0,,,,нет,,Участвует в конкурсе,
168,,3579373,130380,70,61,67,198,0,0,198,нужд.,нет,5,,,0,,,,нет,,На рассмотрении,
169,,4118057,140203,72,59,66,197,0,0,197,нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
170,,4099529,139489,70,54,73,197,0,0,197,нужд.,нет,2,,,0,,,,нет,,Участвует в конкурсе,
171,,4108890,139927,64,61,70,195,2,0,197,нужд.,нет,4,,,0,,,,нет,,Участвует в конкурсе,
172,,4145317,140544,58,64,70,192,5,0,197,не нужд.,нет,3,,,0,,,,нет,,Участвует в конкурсе,
173,,3991561,137358,74,68,54,196,0,0,196,нужд.,нет,4,,,0,,,,нет,,Участвует в конкурсе,
174,,4027373,138143,72,51,70,193,3,0,196,не нужд.,нет,3,,,0,,,,нет,,Участвует в конкурсе,
175,,4250692,142744,70,72,54,196,0,0,196,нужд.,нет,2,,,0,,,,нет,1,На рассмотрении,
176,,4074140,139599,74,61,60,195,0,0,195,нужд.,нет,5,,,0,,,,нет,,На рассмотрении,
177,,4020118,137846,72,61,52,185,10,0,195,нужд.,нет,5,3,,0,,,,нет,,Участвует в конкурсе,
178,,3805576,133280,70,70,55,195,0,0,195,нужд.,да,4,,1,0,,,,нет,,Участвует в конкурсе,
179,,3872154,139241,74,54,66,194,0,0,194,не нужд.,нет,3,,,0,,,,нет,,Участвует в конкурсе,
180,,3867478,134724,72,59,63,194,0,0,194,нужд.,нет,5,,,0,,,,нет,,Участвует в конкурсе,
